Genotype	Pop	Sex	Sample	Glu-Plate	Glucose	Protein-Plate	Protein	Glu-Pro	Glu-CanS
FFD10	FFD	F	A1	08152017-2	0.714	11292017-1	12.97	0.0550501156515035	2.10919983339094
FFD10	FFD	F	B1	08152017-2	0.753	11292017-1	13.31	0.0565740045078888	2.1675863796126
FFD10	FFD	F	C1	08152017-2	0.518	11292017-1	10.8	0.047962962962963	1.83766141620548
FFD10	FFD	F	D1	08152017-2	0.773	11292017-1	13.7	0.0564233576642336	2.16181446989401
FFD10	FFD	F	E1	08152017-2	0.667	11292017-1	15.12	0.0441137566137566	1.6901822457378
FFD10	FFD	F	F1	08152017-2	0.709	11292017-1	11.54	0.0614384748700173	2.35396455440679
FFD10	FFD	F	A3	10262017-2	0.6525	08112017-2	10.6	0.0615566037735849	2.2968882005069
FFD10	FFD	F	B3	10262017-2	0.5325	08112017-2	12.3	0.0432926829268293	1.61539861667274
FFD10	FFD	F	C3	10262017-2	0.4912	08112017-2	11.7	0.041982905982906	1.56652634264575
FFD10	FFD	F	D3	10262017-2	0.6033	08112017-2	9.7	0.0621958762886598	2.32074165256193
FFD10	FFD	F	E3	10262017-2	0.6108	08112017-2	9.1	0.0671208791208791	2.50451041495818
FFD10	FFD	F	F3	10262017-2	0.7607	08112017-2	8.83	0.0861494903737259	3.21453322290022
FFD10	FFD	F	A2	12242017-1	0.564	08142017-5	13.27	0.0425018839487566	1.34926615710338
FFD10	FFD	F	B2	12242017-1	0.71	08142017-5	12.8	0.05546875	1.7609126984127
FFD10	FFD	F	C2	12242017-1	0.502	08142017-5	7.2	0.0697222222222222	2.21340388007055
FFD10	FFD	F	D2	12242017-1	0.491	08142017-5	9.1	0.053956043956044	1.71289028431886
FFD10	FFD	F	E2	12242017-1	0.51	08142017-5	9.4	0.0542553191489362	1.72239108409321
FFD10	FFD	F	F2	12242017-1	0.416	08142017-5	6.7	0.062089552238806	1.97109689647003
FFD14	FFD	F	A1	06222017-1	1.4826	09262016-1	10.95	0.135397260273973	2.88079277178666
FFD14	FFD	F	B1	06222017-1	1.58	09262016-1	11.3	0.139823008849558	2.97495763509698
FFD14	FFD	F	C1	06222017-1	1.778	09262016-1	10	0.1778	3.78297872340426
FFD14	FFD	F	D1	06222017-1	1.6338	09262016-1	10.03	0.162891326021934	3.4657728940837
FFD14	FFD	F	E1	06222017-1	1.364	09262016-1	9.7	0.140618556701031	2.99188418512832
FFD14	FFD	F	F1	06222017-1	1.31	09262016-1	8.8	0.148863636363636	3.16731141199226
FFD14	FFD	F	A3	08152017-2	0.8003	12042017-4	13.7	0.0584160583941606	2.23816315686439
FFD14	FFD	F	B3	08152017-2	0.9567	12042017-4	15.996	0.0598087021755439	2.29152115615111
FFD14	FFD	F	C3	08152017-2	0.6837	12042017-4	11.73	0.0582864450127877	2.23319712692673
FFD14	FFD	F	D3	08152017-2	0.9734	12042017-4	17.4	0.0559425287356322	2.14339190557978
FFD14	FFD	F	E3	08152017-2	0.7443	12042017-4	15.6	0.0477115384615385	1.82802829354554
FFD14	FFD	F	F3	08152017-2	1.08	12042017-4	14.8	0.072972972972973	2.79589934762349
FFD14	FFD	F	A4	08162017-1	0.638	08142017-1	11.1	0.0574774774774775	1.27727727727728
FFD14	FFD	F	B4	08162017-1	0.7	08142017-1	11.72	0.0597269624573379	1.32726583238529
FFD14	FFD	F	C4	08162017-1	1.178	08142017-1	12.7	0.092755905511811	2.06124234470691
FFD14	FFD	F	D4	08162017-1	0.878	08142017-1	12.1	0.0725619834710744	1.61248852157943
FFD14	FFD	F	E4	08162017-1	1.039	08142017-1	12.8	0.081171875	1.80381944444444
FFD14	FFD	F	F4	08162017-1	0.606	08142017-1	11.7	0.0517948717948718	1.15099715099715
FFD16	FFD	F	A2	06222017-1	0.535	08142017-8	11.02	0.0485480943738657	1.03293817816736
FFD16	FFD	F	B2	06222017-1	0.423	08142017-8	10.4	0.0406730769230769	0.865384615384615
FFD16	FFD	F	C2	06222017-1	0.585	08142017-8	11.18	0.0523255813953488	1.11331024245423
FFD16	FFD	F	D2	06222017-1	0.392	08142017-8	11.9	0.0329411764705882	0.700876095118898
FFD16	FFD	F	E2	06222017-1	0.526	08142017-8	10.54	0.0499051233396584	1.06181113488635
FFD16	FFD	F	F2	06222017-1	0.671	08142017-8	11.89	0.0564339781328848	1.20072293899755
FFD16	FFD	F	A3	10262017-1	0.61	08112017-7	11.02	0.0553539019963702	1.97692507129894
FFD16	FFD	F	B3	10262017-1	0.664	08112017-7	12.44	0.0533762057877814	1.90629306384934
FFD16	FFD	F	C3	10262017-1	0.611	08112017-7	13.5	0.0452592592592593	1.61640211640212
FFD16	FFD	F	D3	10262017-1	0.659	08112017-7	12.7	0.0518897637795276	1.85320584926884
FFD16	FFD	F	E3	10262017-1	0.653	08112017-7	11.5	0.0567826086956522	2.02795031055901
FFD16	FFD	F	F3	10262017-1	0.521	08112017-7	9.9	0.0526262626262626	1.87950937950938
FFD16	FFD	F	A4	12242017-1	0.816	08142017-3	11.6	0.0703448275862069	2.23316912972085
FFD16	FFD	F	B4	12242017-1	0.411	08142017-3	11.28	0.036436170212766	1.15670381627829
FFD16	FFD	F	C4	12242017-1	0.719	08142017-3	10.8	0.0665740740740741	2.11346266901823
FFD16	FFD	F	D4	12242017-1	0.827	08142017-3	13.34	0.0619940029985007	1.96806358725399
FFD16	FFD	F	E4	12242017-1	0.712	08142017-3	11.68	0.060958904109589	1.93520330506632
