Genotype	Pop	Sex	Sample	Kit	Glu-Plate	Glu	Prot-Plate	Protein	GluNorm	Glu.CanS
PC155	PC	F	A2	HK	3112016	0.574633481077395	3112016	14.0422923689856	0.0409216291740624	NA
PC155	PC	F	B2	HK	3112016	0.371701329696556	3112016	11.5170088875268	0.0322741202448074	NA
PC155	PC	F	C2	HK	3112016	0.391339924991476	3112016	12.3935029114312	0.0315762160051233	NA
PC155	PC	F	D2	HK	3112016	0.448210023866348	3112016	9.43303708243948	0.0475149222831674	NA
PC155	PC	F	E2	HK	3112016	0.367405386975793	3112016	13.5407089590357	0.0271333936862016	NA
PC155	PC	F	F2	HK	3112016	0.363723150357995	3112016	12.8276637041577	0.0283545904185269	NA
PC155	PC	M	A2	HK	3112016	0.303375383566314	3112016	5.56747369496374	0.0544906721051494	NA
PC155	PC	M	B2	HK	3112016	0.251619502216161	3112016	6.45826948615793	0.0389608242200886	NA
PC155	PC	M	C2	HK	3112016	0.228503239004432	3112016	3.6306057820002	0.062938047456792	NA
PC155	PC	M	D2	HK	3112016	0.275349471530856	3112016	6.64419246092553	0.0414421275648147	NA
PC155	PC	M	E2	HK	3112016	0.263075349471531	3112016	5.53069772193278	0.0475663944583823	NA
PC155	PC	M	F2	HK	3112016	0.339379474940334	3112016	6.38778220451527	0.0531294687380606	NA
FFD14	FFD	F	A3	HK	3142016	0.37130887912537	3142016	13.099970829687	0.0283442523615331	NA
FFD14	FFD	F	B3	HK	3142016	0.795953816286911	3142016	11.8848189357003	0.0669723132168198	NA
FFD14	FFD	F	C3	HK	3142016	0.410953305405129	3142016	10.1587698462308	0.0404530579613047	NA
FFD14	FFD	F	D3	HK	3142016	0.523142944722591	3142016	9.75371921490186	0.0536352270550629	NA
FFD14	FFD	F	E3	HK	3142016	0.464493716154082	3142016	13.2358211443097	0.0350936833529044	NA
FFD14	FFD	F	F3	HK	3142016	0.410953305405129	3142016	8.51273075801142	0.0482751442618312	NA
FFD4	FFD	F	A3	HK	3142016	0.357412894656176	3142016	8.37438013084969	0.042679325403385	NA
FFD4	FFD	F	B3	HK	3142016	0.436497394502912	3142016	9.55952827436763	0.0456609763552153	NA
FFD4	FFD	F	C3	HK	3142016	0.537651987330132	3142016	9.09863732966621	0.059091484565179	NA
FFD4	FFD	F	D3	HK	3142016	0.514151425360172	3142016	10.2437804725591	0.0501915700690262	NA
FFD4	FFD	F	E3	HK	3142016	0.402779196893839	3142016	8.27520106680002	0.0486730405270493	NA
FFD4	FFD	F	F3	HK	3142016	0.460202309185654	3142016	9.48285202316956	0.0485299473261036	NA
PC141	PC	F	A3	HK	3142016	0.389700623275774	3162016	10.6373171534735	0.0366352359014248	NA
PC141	PC	F	B3	HK	3142016	0.315724941248595	3162016	10.6326137058464	0.0296940103330371	NA
PC141	PC	F	C3	HK	3142016	0.440788801471339	3162016	10.3090165091012	0.042757599726627	NA
PC141	PC	F	D3	HK	3142016	0.459589251047308	3162016	10.8104040261512	0.0425136054060076	NA
PC141	PC	F	E3	HK	3142016	0.333707979973434	3162016	10.1095903297117	0.0330090507221325	NA
PC141	PC	F	F3	HK	3142016	0.39562685194646	3162016	7.86416443252905	0.0503075508327373	NA
PC155	PC	F	A3	HK	3142016	0.411157658117911	3162016	8.50853675744321	0.0483229572650354	NA
PC155	PC	F	B3	HK	3142016	0.3179728210892	3162016	8.74088707022247	0.0363776374794311	NA
PC155	PC	F	C3	HK	3142016	0.464698068866864	3162016	11.1217722590659	0.0417827355247331	NA
PC155	PC	F	D3	HK	3142016	0.350260549708797	3162016	10.0249282724237	0.0349389581840984	NA
PC155	PC	F	E3	HK	3142016	0.405027076734443	3162016	10.6909364564226	0.0378850887745313	NA
PC155	PC	F	F3	HK	3142016	0.339838561356902	3162016	NA	NA	NA
FFD14	FFD	M	A3	HK	3142016	0.161847348523552	3142016	4.91723962312197	0.0329142691689275	NA
FFD14	FFD	M	B3	HK	3142016	0.193726371717585	3142016	6.27026568203039	0.0308960387871242	NA
FFD14	FFD	M	C3	HK	3142016	0.188208848472463	3142016	5.11162040573805	0.0368198014588855	NA
FFD14	FFD	M	D3	HK	3142016	0.279758863798917	3142016	6.53340123928359	0.042819789195986	NA
FFD14	FFD	M	E3	HK	3142016	0.189434964749157	3142016	4.96222731516849	0.0381753903474139	NA
FFD14	FFD	M	F3	HK	3142016	0.194748135281496	NA	NA	NA	NA
FFD4	FFD	M	A3	HK	3142016	0.352712782262184	3142016	6.196607909322	0.056920300174483	NA
FFD4	FFD	M	B3	HK	3142016	0.369060999284765	3142016	6.80918448139351	0.0542004700112393	NA
FFD4	FFD	M	C3	HK	3142016	0.36129559619904	3142016	5.83906321623536	0.0618756096345159	NA
FFD4	FFD	M	D3	HK	3142016	0.418105650352508	3142016	7.124223861316	0.0586878877603482	NA
