Genotype	Pop	Sex	Sample	TGA.Plate	TGA.Raw	Prot.Plate	Protein	TGA.Protein
FFD10	FFD	F	A1	1282016	3.37518037518037	2012016	12.3781855249745	0.272671658408297
FFD10	FFD	F	B1	1282016	3.73593073593074	2012016	14.7349643221203	0.253541892213632
FFD10	FFD	F	C1	1282016	2.64165464165464	2012016	14.4587155963303	0.182703271535759
FFD10	FFD	F	D1	1282016	3.14141414141414	2012016	13.7247706422018	0.228886458164533
FFD10	FFD	F	E1	1282016	2.77681577681578	2012016	14.8603465851172	0.186860768079042
FFD10	FFD	F	F1	1282016	2.75276575276575	2012016	14.7043832823649	0.187207154486184
FFD10	FFD	F	A2	3092016	1.72652531371701	3092016-2	9.20403920403921	0.187583437601973
FFD10	FFD	F	B2	3092016	2.40588489831242	3092016-2	10.973170973171	0.219251564036934
FFD10	FFD	F	C2	3092016	1.65729121592384	3092016-2	10.2801702801703	0.161212428467322
FFD10	FFD	F	D2	3092016	1.96019039376893	3092016-2	8.74863874863875	0.224056616130587
FFD10	FFD	F	E2	3092016	2.45088706187798	3092016-2	11.0899910899911	0.220999912623009
FFD10	FFD	F	F2	3092016	2.39117265253137	3092016-2	12.7739827739828	0.187190846804769
FFD10	FFD	F	A3	5312016	3.62088147197261	5312016	12.2393290774815	0.29583986581703
FFD10	FFD	F	B3	5312016	1.53958065896448	5312016	10.7481119873159	0.143241962940224
FFD10	FFD	F	C3	5312016	3.04065040650407	5312016	9.39208077773605	0.323746194103434
FFD10	FFD	F	D3	5312016	1.94865211810013	5312016	13.5502983268661	0.143808798234098
FFD10	FFD	F	E3	5312016	4.32862644415918	5312016	12.9628238828389	0.333926194113438
FFD10	FFD	F	F3	5312016	2.11724433033804	5312016	10.9867734802019	0.19270847206901
FFD10	FFD	F	A5	6102016	3.41617713511071	6102016	9.70955352856457	0.351836685905345
FFD10	FFD	F	B5	6102016	4.14098508811568	6102016	9.10545687309969	0.454780594299383
FFD10	FFD	F	C5	6102016	3.09534568459105	6102016	7.26516242598816	0.426053197863645
FFD10	FFD	F	D5	6102016	3.50384093990059	6102016	8.81661065770523	0.397413595306993
FFD10	FFD	F	E5	6102016	3.93221870763669	6102016	8.52696431429029	0.461151068856558
FFD10	FFD	F	F5	6102016	3.049254405784	6102016	10.4688750200032	0.29126858425167
FFD10	FFD	F	A4	5312016-2	3.93355801636976	6012016	12.2930139720559	0.319983205527254
FFD10	FFD	F	B4	5312016-2	4.33317284545017	6012016	13.8163672654691	0.313626061191929
FFD10	FFD	F	C4	5312016-2	3.0698122291767	6012016	9.47864271457086	0.323866224481453
FFD10	FFD	F	D4	5312016-2	3.13432835820896	6012016	8.85828343313373	0.353830217995197
FFD10	FFD	F	E4	5312016-2	3.00433317284545	6012016	9.39001996007984	0.319949604539489
FFD10	FFD	F	F4	5312016-2	3.89311506981223	6012016	8.97325349301397	0.43385769418452
FFD14	FFD	F	A1	1282016	2.39442039442039	2012016	11.243628950051	0.212957969802938
FFD14	FFD	F	B1	1282016	3.60654160654161	2012016	14	0.257610114752972
FFD14	FFD	F	C1	1282016	2.49206349206349	2012016	14.8960244648318	0.167297220674351
FFD14	FFD	F	D1	1282016	3.48244348244348	2012016	16.5851172273191	0.209974004688203
FFD14	FFD	F	E1	1282016	2.09090909090909	2012016	13.5963302752294	0.153784811679549
