Genotype	Temp	Pop	Sex	Food	MeanLength	MedianLength
FFD6	25	FFD	M	Q	1.23841522706897	1.237057822
PC141	25	PC	M	Q	1.23146184561538	1.2290897345
PC113	21	PC	M	Q	1.18888807492857	1.2049638635
FFD23	21	FFD	M	F	1.57531153333333	1.57787953
FFD29	25	FFD	M	F	1.31801494655556	1.320368993
FFD14	25	FFD	M	Q	1.2977862076	1.320808397
PC85	25	PC	F	F	1.46250258125	1.4621984825
FFD14	25	FFD	M	F	1.33522810086667	1.3383232835
PC155	21	PC	F	F	1.66419161235714	1.665289419
FFD14	21	FFD	F	Q	1.53780558142857	1.514016631
FFD22	25	FFD	F	Q	1.42710994424	1.430737277
FFD6	21	FFD	F	F	1.66577986137037	1.66340216
FFD6	25	FFD	F	F	1.5007998956129	1.494083368
PC141	25	PC	F	F	1.44017422282759	1.440284449
PC155	21	PC	M	Q	1.42581404635714	1.4440772815
FFD14	21	FFD	M	Q	1.40624753426667	1.399042244
PC114	25	PC	M	F	1.24127201769231	1.250411537
FFD16	25	FFD	M	Q	1.25111592357692	1.2353017005
PC12	25	PC	M	Q	1.21842885282143	1.232454312
PC189	25	PC	M	Q	1.13305261765	1.149365415
PC85	21	PC	F	F	1.6215792284	1.619241322
FFD14	21	FFD	M	F	1.46889557122581	1.474902791
PC155	21	PC	M	F	1.47863879337037	1.477117526
PC155	21	PC	F	Q	1.58169517704	1.57899213
FFD19	25	FFD	M	Q	1.34302159874194	1.335174218
PC12	21	PC	M	F	1.41886609211538	1.4113628765
FFD6	25	FFD	F	Q	1.37123745425926	1.382984346
FFD14	25	FFD	F	F	1.54105672807407	1.542276024
FFD23	25	FFD	M	Q	1.2627913054	1.26224774
PC167	25	PC	M	F	1.26797790955172	1.270684896
PC189	25	PC	F	Q	1.31700834541935	1.321379952
PC141	25	PC	M	F	1.27639361316129	1.271830423
PC167	21	PC	M	F	1.43440543710345	1.44752961
PC136	25	PC	M	F	1.21936997666667	1.2234633905
FFD2	21	FFD	F	F	1.63838850103571	1.6499213095
FFD29	25	FFD	M	Q	1.19055446161538	1.1813379545
FFD23	21	FFD	F	F	1.77141137489655	1.775047021
FFD16	21	FFD	M	F	1.5001533371	1.505492259
FFD23	25	FFD	M	F	1.37512305157692	1.3751772335
FFD19	21	FFD	M	F	1.50531532857143	1.511342639
FFD16	25	FFD	F	F	1.52942613726667	1.5301257225
FFD10	21	FFD	F	Q	1.54142362541667	1.5532072165
FFD10	25	FFD	F	F	1.47843500196296	1.481882717
PC136	25	PC	F	F	1.43125693926667	1.433592806
FFD10	25	FFD	F	Q	1.37183269556	1.364455006
PC200	25	PC	F	F	1.50968682386667	1.5050629545
FFD23	21	FFD	F	Q	1.64726777476	1.643971602
PC136	25	PC	M	Q	1.1605479214375	1.1810570285
FFD10	21	FFD	F	F	1.64145639366667	1.6493317335
FFD22	21	FFD	F	F	1.65139399765385	1.656146028
